"item_title","release_date","downloads__april","downloads__march","downloads__february","downloads__total"
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",386,0,0,386
"TBP51 - Such Wow","2016-04-10 17:09:46",427,0,0,427
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",614,0,0,614
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",397,253,0,650
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",70,460,0,530
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",25,399,0,424
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",29,637,0,666
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",39,477,0,516
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",20,446,0,466
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",30,264,235,529
"TBP42 - True Micropayments","2016-02-21 23:13:15",8,98,564,670
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",8,42,418,468
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",6,100,977,1083
"TBP39 - Running the Gamut","2016-02-07 20:14:46",4,112,645,761
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",6,25,496,527
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",9,24,278,501
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",4,24,65,476
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",13,66,81,941
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",10,20,93,710
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",3,13,27,578
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",3,18,48,643
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",5,23,39,398
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",2,10,15,426
"TBP29 - Take the Power Back","2015-12-06 16:35:49",26,18,27,513
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",2,25,16,483
"TBP27 - London Calling","2015-11-22 16:30:21",2,18,17,505
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",1,17,13,452
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",4,5,19,390
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",6,15,19,546
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",2,3,17,324
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",2,4,11,258
"TBP21 - Call For Papers","2015-10-10 13:06:37",2,4,7,304
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",6,10,12,296
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",1,4,10,347
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",2,2,12,335
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",1,6,7,440
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",4,10,10,359
"TBP15 - Ants Marching","2015-08-30 19:31:14",2,3,10,324
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",4,5,7,470
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",2,2,8,382
"TBP12 - Boring Economics","2015-08-08 00:53:49",5,3,14,535
"TBP11 - The End of Money","2015-08-03 04:12:02",4,7,14,473
"TBP10 - Bottoms Up","2015-07-24 13:32:59",5,5,6,392
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",5,7,6,435
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",5,70,7,509
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",4,6,8,416
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",4,16,9,378
"TBP05 - The World's Strongest","2015-06-28 22:55:15",10,5,9,430
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",29,5,13,509
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",12,4,16,476
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",10,15,24,522
"Episode #1 - Introduction","2015-06-01 00:34:44",38,37,44,778
