"item_title","release_date","downloads__december","downloads__november","downloads__october","downloads__total"
"TBP124 - Affording the High Risk","2017-04-16 02:43:52",5,17,76,2969
"BlockChannel Episode 18: Where You At? What’s Your Status.im?","2017-04-14 00:40:35",13,22,45,1941
"BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","2017-04-12 23:54:02",6,18,45,1911
"TBP123 - AsicBoost Catch 22","2017-04-09 17:17:32",9,19,53,2391
"TBP122 - Ubitquity Part III","2017-04-06 17:26:17",11,22,53,1859
"BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","2017-04-03 12:48:24",7,9,42,2880
"TBP121 - Liberty Life Trails","2017-04-02 05:08:43",10,14,46,2552
"TBP120 - The Token Protocol","2017-03-25 20:31:45",10,20,56,3660
"BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","2017-03-21 17:08:43",7,24,45,2761
"TBP119 - Shorting the Bull Rally II","2017-03-20 00:28:59",7,19,30,2175
"BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","2017-03-18 19:23:52",5,16,39,2119
"TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","2017-03-12 00:58:57",5,13,52,3108
"Episode #7: On-Ramping with Dee","2017-03-10 15:53:59",0,9,23,1630
"BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","2017-03-07 02:41:19",5,20,20,2024
"TBP117 - Venturing Into the Web3","2017-03-05 03:04:22",6,24,13,2278
"TBP116 - Building the Iron Man Suit","2017-02-26 17:50:26",2,13,16,2505
"BlockChannel Episode 12: In Ethereum, WeTrust","2017-02-22 00:20:08",2,14,23,2601
"Episode #6: On-Ramping with Dee","2017-02-20 17:00:38",2,15,13,1807
"BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","2017-02-20 01:45:27",2,9,6,1387
"TBP115 - This Week in Ethereum","2017-02-18 20:58:23",10,17,7,2138
"BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","2017-02-17 15:25:32",7,6,4,1469
"TBP114 - Life After Trezor","2017-02-12 06:32:10",3,19,3,2736
"BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","2017-02-08 03:17:23",2,5,1,1695
"TBP113 - Innovators' Lab","2017-02-05 06:01:34",6,5,2,2181
"Episode #5: On-Ramping with Dee","2017-02-03 22:54:38",4,5,4,2265
"BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","2017-02-02 16:14:25",0,10,0,1918
"BlockChannel Episode 7: Meet Your Maker, Ethereum","2017-02-02 03:17:22",5,7,3,1688
"TBP112 - The Broader Economy II","2017-01-28 22:29:43",22,24,17,3559
"BlockChannel Episode 6: Gnosis, and the Power of the Crowd","2017-01-26 13:57:43",1,5,1,1595
"Episode #4: On-Ramping with Dee","2017-01-25 15:07:23",2,9,2,2178
"TBP111 - Disrupting Global Commerce","2017-01-22 20:04:14",5,4,1,2237
"TBP110 - The Technological Revolution","2017-01-15 04:15:37",0,8,2,2435
"BlockChannel Episode 5: Taking One for the Team","2017-01-11 22:36:32",0,4,2,1471
"TBP109 - The Human Influence","2017-01-08 03:14:21",5,4,2,1975
"Episode #3: On-Ramping with Dee","2017-01-07 19:15:13",0,8,5,1363
"TBP108 - Ether Camp","2017-01-04 15:48:27",3,6,2,1534
"On-Ramping with Dee: Episode #2","2017-01-03 00:30:17",3,6,5,1903
"BlockChannel Episode 4: Predicting the Future, with Augur","2017-01-02 21:39:49",3,8,1,1472
"TBP107 - Like Father, Like Son","2016-12-31 23:30:19",0,10,2,1644
"TBP106 - A Very Bitcoin Christmas","2016-12-25 03:48:17",0,9,1,2060
"On-Ramping with Dee: Episode #1","2016-12-22 15:30:53",0,10,13,2025
"TBP105 - Music Industry 2.0","2016-12-18 05:39:44",6,10,1,1959
"TBP104 - Currency to a Wider Public","2016-12-11 16:45:40",2,4,1,2550
"TBP103 - A Jack of All Trades","2016-12-04 04:32:53",2,8,0,1657
"BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","2016-12-01 03:57:34",1,7,3,2029
"TBP102 - Building Bridges Initiative","2016-11-30 00:54:52",5,11,4,2209
"TBP101 - World's First Supernode Infrastructure","2016-11-27 00:00:57",1,11,2,1401
"TBP100 - Thai Gone Wild","2016-11-19 17:18:43",0,7,5,2880
"TBP99 - Blockchain Supercomputer","2016-11-12 22:02:26",2,6,9,2346
"BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","2016-11-11 04:17:59",2,5,2,1298
"TBP98 - Ubitquity Part Duex","2016-11-09 17:40:09",2,4,1,1260
"TBP97 - Hype or Hope","2016-11-06 00:57:36",2,14,2,2646
"BlockChannel Episode 1: Empowering Creativity with Technology","2016-10-29 23:56:51",2,16,4,1332
"TBP96 - A Fireside Chat","2016-10-29 23:49:12",0,8,0,1611
"TBP95 - The JOBS Act","2016-10-27 00:09:26",0,24,0,1564
"TBP94 - Reputation Tokens","2016-10-22 23:01:22",0,14,1,2397
"TBP93 - Cryptographic Verification","2016-10-15 16:44:27",1,12,3,3667
"TBP92 - Myceliated","2016-10-09 04:31:18",2,10,2,1748
"TBP91 - Exosphere Academy II","2016-10-02 00:37:24",2,11,1,1513
"TBP90 - Silicon Valley in a Box","2016-09-27 13:05:44",0,19,1,2271
"TBP89 - The IoT Frontier","2016-09-25 19:56:06",13,14,2,1388
"TBP88 - Bitcoin Bike-Shed","2016-09-19 01:28:26",0,13,4,1335
"TBP87 - The World is YOURS","2016-09-18 15:16:48",2,16,3,1751
"TBP86 - Exploring Macroeconomics","2016-09-12 23:46:04",1,13,3,1394
"TBP85 - Crossing the Chasm","2016-09-11 04:58:35",0,14,1,1227
"TBP84 - Arcade City Glorification","2016-09-04 03:32:05",1,9,0,1379
"TBP83 - Lightning Network Deep Dive","2016-08-29 02:47:27",7,15,0,1883
"TBP82 - Unifying Blockchain Tech","2016-08-28 01:20:00",10,12,3,1763
"TBP81 - Redefining Trust","2016-08-21 00:51:47",0,4,2,1563
"TBP80 - A Means to an End","2016-08-13 21:30:49",2,6,1,1426
"TBP79 - Infrastructure for a Seven Billion World","2016-08-13 20:13:14",6,21,8,2501
"TBP78 - The Price of Privatization","2016-08-06 16:19:09",1,7,3,1792
"TBP77 - Collective Governance","2016-08-01 02:13:02",5,0,1,2692
"TBP76 - Skynet","2016-07-31 13:56:37",4,15,1,2878
"TBP75 - Attention Economy","2016-07-23 14:57:17",2,5,0,1813
"TBP74 - Cryptocurrency Fellowship","2016-07-20 13:41:28",4,9,0,1352
"TBP73 - Navigating the New Marketplace","2016-07-17 01:17:22",2,8,1,1602
"TBP72 - The Broader Economy","2016-07-11 13:33:58",14,29,12,3644
"TBP71 - Bitcoin Wealth Alliance","2016-07-10 14:26:46",3,14,2,2036
"TBP70 - Whitehat","2016-07-03 16:51:42",1,9,4,1542
"TBP69 - The Ubitquity Platform","2016-06-30 11:56:43",1,3,3,1284
"TBP68 - Deconstructing theDAO Attack","2016-06-26 17:44:41",1,4,3,2091
"TBP67 - Follow the LeadTuur","2016-06-22 23:34:09",2,1,0,1582
"TBP66 - Cultures of Innovation","2016-06-18 22:26:35",0,1,0,1381
"TBP65 - Exosphere Academy","2016-06-12 19:07:01",2,5,0,1331
"TBP64 - Shorting the Bull Rally","2016-06-09 20:34:07",1,7,2,1353
"TBP63 - Change Jar 4.0","2016-06-06 03:07:38",2,2,1,1256
"TBP62 - Still Holding Up the Sky","2016-05-30 16:55:35",2,4,1,1185
"TBP61 - Escaping War Zones","2016-05-27 13:28:27",1,1,2,940
"TBP60 - Release the Kraken","2016-05-23 03:32:09",6,3,1,2421
"TBP59 - Incredible India","2016-05-16 15:40:00",0,4,1,1060
"TBP58 - The Art of the Deal","2016-05-08 17:16:35",2,13,9,1898
"TBP57 - Future of a Shared Economy","2016-05-03 01:03:08",2,4,5,2071
"TBP56 - Exploring European Fintech","2016-05-01 15:25:30",1,1,1,928
"TBP55 - The Cryptocurrency 2.0 Project","2016-04-24 20:23:06",1,2,2,1237
"TBP54 - Revisiting the Divine Child","2016-04-21 13:53:37",2,1,0,732
"TBP53 - Tough Math","2016-04-17 16:24:01",1,2,1,1337
"TBP52 - Potential of the SDK","2016-04-14 13:14:42",2,1,0,743
"TBP51 - Such Wow","2016-04-10 17:09:46",0,1,0,721
"TBP50 - Not Giving a Good Got Damn","2016-04-04 10:24:41",1,6,0,891
"TBP49 - Welterweight Gold","2016-03-31 10:47:53",0,4,1,967
"TBP48 - Inertia, My Friend!","2016-03-27 18:30:33",0,3,1,754
"TBP47 - Bottoms Up 4","2016-03-20 05:09:56",2,1,0,691
"TBP46 - The Fundamental Conflict","2016-03-13 19:10:34",1,9,2,1008
"TBP45 - Bitcoin Evangelism","2016-03-06 19:25:30",0,3,4,795
"TBP44 - Who Is Bitcoin Girl?","2016-03-03 14:54:07",0,1,0,719
"TBP43 - The Mystery of Capital","2016-02-27 23:41:49",1,3,1,813
"TBP42 - True Micropayments","2016-02-21 23:13:15",1,6,1,931
"TBP41 - Making Inroads With Merchants","2016-02-18 12:54:17",2,2,0,692
"TBP40 - A Conservative Trillion","2016-02-13 22:00:36",0,2,2,1330
"TBP39 - Running the Gamut","2016-02-07 20:14:46",1,1,2,923
"TBP38 - Assumption of Trust","2016-02-01 03:14:48",0,1,2,692
"TBP37 - Bitcoining with The BasedGod","2016-01-30 21:12:27",5,7,10,773
"TBP36 - Bakesales for Bombers","2016-01-23 23:59:27",0,0,1,601
"TBP35 - Disruption or Disconnect","2016-01-16 19:19:54",2,2,1,1130
"TBP34 - 20,000 Lines Under the Code","2016-01-09 20:53:23",6,7,2,859
"TBP33 - Canadian Bitcoin Scenario","2016-01-02 20:32:37",1,2,0,754
"TBP32 - The Marketing Blueprint","2015-12-27 18:18:03",0,1,0,829
"TBP31 - Off the Transparency Chain","2015-12-20 17:37:38",1,2,2,566
"TBP30 - Bottoms Up 3","2015-12-13 18:30:27",2,1,0,569
"TBP29 - Take the Power Back","2015-12-06 16:35:49",2,3,1,725
"TBP28 - Modern Day Gold Rush","2015-11-29 17:24:50",1,6,4,669
"TBP27 - London Calling","2015-11-22 16:30:21",0,2,0,646
"TBP26 - Change Jar 3.0","2015-11-15 01:50:17",1,4,0,582
"TBP25 - The $199 Incentive","2015-11-08 03:33:14",0,1,1,502
"TBP24 - Betting On Bitcoin","2015-11-01 19:02:29",2,5,5,777
"TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","2015-10-25 16:37:15",0,2,2,469
"TBP22 - Vote With Your Feet","2015-10-15 14:15:56",2,3,2,415
"TBP21 - Call For Papers","2015-10-10 13:06:37",1,0,1,467
"TBP20 - Bottoms Up 2","2015-10-01 19:18:33",2,0,1,477
"TBP19 - Branding the Disruptive","2015-09-27 19:28:31",1,0,2,502
"TBP18 - From Cradle to Grave","2015-09-20 16:31:41",0,1,1,470
"TBP17 - Oiling the Squeaky Wheel","2015-09-13 03:29:00",0,1,1,567
"TBP16 - The Dual Revolution","2015-09-06 14:23:52",1,0,2,530
"TBP15 - Ants Marching","2015-08-30 19:31:14",2,0,1,487
"TBP14 - Sex and the Single Bitcoin","2015-08-23 20:25:05",2,2,4,658
"TBP13 - The Greatest Truths","2015-08-15 13:01:54",2,1,1,497
"TBP12 - Boring Economics","2015-08-08 00:53:49",2,0,4,748
"TBP11 - The End of Money","2015-08-03 04:12:02",1,3,6,688
"TBP10 - Bottoms Up","2015-07-24 13:32:59",1,1,2,529
"TBP09 - The Curious Case of Remittance","2015-07-19 18:11:43",3,5,1,613
"TBP08 - Bitcoin For The Bottom Billion","2015-07-09 20:35:37",2,3,6,689
"TBP07 - Under the Iron Veil","2015-07-06 13:30:54",3,1,9,2550
"TBP06 - Aboard the Pequod","2015-07-02 15:44:18",2,1,3,2300
"TBP05 - The World's Strongest","2015-06-28 22:55:15",3,3,4,2383
"TBP04 - Change Jar 2.0","2015-06-20 12:57:42",5,5,11,2505
"TBP03 - Bridging the Gender Gap","2015-06-15 01:30:08",1,4,10,2389
"TBP02 - Holding Up the Sky","2015-06-07 23:17:25",6,8,18,2543
"Episode #1 - Introduction","2015-06-01 00:34:44",25,33,62,3134
