date,total_downloads
2015-06-01,127.0
2015-06-02,32.0
2015-06-03,15.0
2015-06-04,8.0
2015-06-05,36.0
2015-06-06,16.0
2015-06-07,42.0
2015-06-08,113.0
2015-06-09,33.0
2015-06-10,43.0
2015-06-11,22.0
2015-06-12,22.0
2015-06-13,6.0
2015-06-14,14.0
2015-06-15,93.0
2015-06-16,19.0
2015-06-17,24.0
2015-06-18,46.0
2015-06-19,27.0
2015-06-20,25.0
2015-06-21,34.0
2015-06-22,111.0
2015-06-23,41.0
2015-06-24,27.0
2015-06-25,27.0
2015-06-26,19.0
2015-06-27,22.0
2015-06-28,46.0
2015-06-29,75.0
2015-06-30,62.0
2015-07-01,53.0
2015-07-02,62.0
2015-07-03,48.0
2015-07-04,48.0
2015-07-05,38.0
2015-07-06,87.0
2015-07-07,52.0
2015-07-08,16.0
2015-07-09,25.0
2015-07-10,20.0
2015-07-11,33.0
2015-07-12,32.0
2015-07-13,106.0
2015-07-14,46.0
2015-07-15,37.0
2015-07-16,20.0
2015-07-17,26.0
2015-07-18,15.0
2015-07-19,44.0
2015-07-20,129.0
2015-07-21,48.0
2015-07-22,60.0
2015-07-23,47.0
2015-07-24,65.0
2015-07-25,7.0
2015-07-26,17.0
2015-07-27,78.0
2015-07-28,84.0
2015-07-29,36.0
2015-07-30,30.0
2015-07-31,37.0
2015-08-01,31.0
2015-08-02,9.0
2015-08-03,97.0
2015-08-04,47.0
2015-08-05,44.0
2015-08-06,35.0
2015-08-07,8.0
2015-08-08,79.0
2015-08-09,109.0
2015-08-10,133.0
2015-08-11,98.0
2015-08-12,38.0
2015-08-13,57.0
2015-08-14,98.0
2015-08-15,79.0
2015-08-16,140.0
2015-08-17,168.0
2015-08-18,71.0
2015-08-19,29.0
2015-08-20,78.0
2015-08-21,162.0
2015-08-22,63.0
2015-08-23,54.0
2015-08-24,256.0
2015-08-25,82.0
2015-08-26,81.0
2015-08-27,82.0
2015-08-28,92.0
2015-08-29,14.0
2015-08-30,27.0
2015-08-31,129.0
2015-09-01,41.0
2015-09-02,33.0
2015-09-03,25.0
2015-09-04,8.0
2015-09-05,23.0
2015-09-06,39.0
2015-09-07,93.0
2015-09-08,49.0
2015-09-09,16.0
2015-09-10,33.0
2015-09-11,15.0
2015-09-12,14.0
2015-09-13,38.0
2015-09-14,202.0
2015-09-15,70.0
2015-09-16,63.0
2015-09-17,39.0
2015-09-18,18.0
2015-09-19,12.0
2015-09-20,46.0
2015-09-21,99.0
2015-09-22,33.0
2015-09-23,31.0
2015-09-24,35.0
2015-09-25,44.0
2015-09-26,18.0
2015-09-27,58.0
2015-09-28,116.0
2015-09-29,39.0
2015-09-30,32.0
2015-10-01,29.0
2015-10-02,11.0
2015-10-03,20.0
2015-10-04,25.0
2015-10-05,97.0
2015-10-06,33.0
2015-10-07,20.0
2015-10-08,15.0
2015-10-09,24.0
2015-10-10,24.0
2015-10-11,28.0
2015-10-12,143.0
2015-10-13,37.0
2015-10-14,35.0
2015-10-15,16.0
2015-10-16,21.0
2015-10-17,7.0
2015-10-18,35.0
2015-10-19,95.0
2015-10-20,27.0
2015-10-21,36.0
2015-10-22,17.0
2015-10-23,8.0
2015-10-24,10.0
2015-10-25,57.0
2015-10-26,98.0
2015-10-27,41.0
2015-10-28,42.0
2015-10-29,17.0
2015-10-30,10.0
2015-10-31,12.0
2015-11-01,14.0
2015-11-02,138.0
2015-11-03,73.0
2015-11-04,51.0
2015-11-05,67.0
2015-11-06,36.0
2015-11-07,225.0
2015-11-08,46.0
2015-11-09,118.0
2015-11-10,50.0
2015-11-11,34.0
2015-11-12,43.0
2015-11-13,46.0
2015-11-14,16.0
2015-11-15,101.0
2015-11-16,220.0
2015-11-17,80.0
2015-11-18,54.0
2015-11-19,54.0
2015-11-20,27.0
2015-11-21,16.0
2015-11-22,95.0
2015-11-23,211.0
2015-11-24,68.0
2015-11-25,30.0
2015-11-26,24.0
2015-11-27,35.0
