"Date","Downloads"
"2017-12-17","74"
"2017-12-18","186"
"2017-12-19","240"
"2017-12-20","127"
"2017-12-21","149"
"2017-12-22","174"
"2017-12-23","97"
"2017-12-24","85"
"2017-12-25","62"
"2017-12-26","86"
"2017-12-27","124"
"2017-12-28","186"
"2017-12-29","164"
"2017-12-30","106"
"2017-12-31","69"
"2018-01-01","71"
"2018-01-02","147"
"2018-01-03","171"
"2018-01-04","194"
"2018-01-05","151"
"2018-01-06","98"
"2018-01-07","77"
"2018-01-08","184"
"2018-01-09","216"
"2018-01-10","299"
"2018-01-11","209"
"2018-01-12","202"
"2018-01-13","115"
"2018-01-14","86"
"2018-01-15","163"
"2018-01-16","220"
"2018-01-17","262"
"2018-01-18","222"
"2018-01-19","171"
"2018-01-20","90"
"2018-01-21","64"
"2018-01-22","159"
"2018-01-23","101"
"2018-01-24","99"
"2018-01-25","124"
"2018-01-26","103"
"2018-01-27","77"
"2018-01-28","55"
"2018-01-29","131"
"2018-01-30","125"
"2018-01-31","137"
"2018-02-01","106"
"2018-02-02","117"
"2018-02-03","80"
"2018-02-04","61"
"2018-02-05","144"
"2018-02-06","179"
"2018-02-07","133"
"2018-02-08","139"
"2018-02-09","139"
"2018-02-10","58"
"2018-02-11","73"
"2018-02-12","146"
"2018-02-13","124"
"2018-02-14","94"
"2018-02-15","153"
"2018-02-16","75"
"2018-02-17","52"
"2018-02-18","40"
"2018-02-19","95"
"2018-02-20","91"
"2018-02-21","60"
"2018-02-22","76"
"2018-02-23","98"
"2018-02-24","44"
"2018-02-25","42"
"2018-02-26","93"
"2018-02-27","82"
"2018-02-28","95"
"2018-03-01","70"
"2018-03-02","74"
"2018-03-03","40"
"2018-03-04","60"
"2018-03-05","101"
"2018-03-06","105"
"2018-03-07","94"
"2018-03-08","86"
"2018-03-09","95"
"2018-03-10","67"
"2018-03-11","53"
"2018-03-12","106"
"2018-03-13","115"
"2018-03-14","68"
"2018-03-15","86"
"2018-03-16","0"
"2018-03-17","0"
