"Item Id","Title","Released","Downloads"
"3587444","Episode #1 - Introduction","06/01/15","38"
"3601738","TBP02 - Holding Up the Sky","06/07/15","14"
"3615157","TBP03 - Bridging the Gender Gap","06/15/15","11"
"3626947","TBP04 - Change Jar 2.0","06/20/15","10"
"3643177","TBP05 - The World's Strongest","06/28/15","10"
"3652151","TBP06 - Aboard the Pequod","07/02/15","9"
"3658304","TBP07 - Under the Iron Veil","07/06/15","12"
"3665806","TBP08 - Bitcoin For The Bottom Billion","07/09/15","12"
"3683210","TBP09 - The Curious Case of Remittance","07/19/15","8"
"3693919","TBP10 - Bottoms Up","07/24/15","9"
"3712120","TBP11 - The End of Money","08/03/15","10"
"3722598","TBP12 - Boring Economics","08/08/15","13"
"3738019","TBP13 - The Greatest Truths","08/15/15","8"
"3753338","TBP14 - Sex and the Single Bitcoin","08/23/15","10"
"3767520","TBP15 - Ants Marching","08/30/15","8"
"3782254","TBP16 - The Dual Revolution","09/06/15","8"
"3795750","TBP17 - Oiling the Squeaky Wheel","09/13/15","8"
"3810427","TBP18 - From Cradle to Grave","09/20/15","8"
"3824811","TBP19 - Branding the Disruptive","09/27/15","9"
"3835124","TBP20 - Bottoms Up 2","10/01/15","9"
"3853199","TBP21 - Call For Papers","10/10/15","7"
"3865129","TBP22 - Vote With Your Feet","10/15/15","12"
"3886966","TBP23 - It’s a Mad, Mad, Mad, Mad Bitcoin World","10/25/15","8"
"3908295","TBP24 - Betting On Bitcoin","11/01/15","16"
"3928842","TBP25 - The $199 Incentive","11/08/15","10"
"3950872","TBP26 - Change Jar 3.0","11/15/15","8"
"3967847","TBP27 - London Calling","11/22/15","8"
"3982663","TBP28 - Modern Day Gold Rush","11/29/15","7"
"3998413","TBP29 - Take the Power Back","12/06/15","6"
"4013389","TBP30 - Bottoms Up 3","12/13/15","7"
"4028521","TBP31 - Off the Transparency Chain","12/20/15","8"
"4039879","TBP32 - The Marketing Blueprint","12/27/15","7"
"4051263","TBP33 - Canadian Bitcoin Scenario","01/02/16","6"
"4065979","TBP34 - 20,000 Lines Under the Code","01/09/16","16"
"4082608","TBP35 - Disruption or Disconnect","01/16/16","12"
"4098198","TBP36 - Bakesales for Bombers","01/23/16","9"
"4113611","TBP37 - Bitcoining with The BasedGod","01/30/16","20"
"4116630","TBP38 - Assumption of Trust","02/01/16","9"
"4132185","TBP39 - Running the Gamut","02/07/16","7"
"4146421","TBP40 - A Conservative Trillion","02/13/16","11"
"4157172","TBP41 - Making Inroads With Merchants","02/18/16","7"
"4164285","TBP42 - True Micropayments","02/21/16","7"
"4179950","TBP43 - The Mystery of Capital","02/27/16","7"
"4192897","TBP44 - Who Is Bitcoin Girl?","03/03/16","10"
"4200262","TBP45 - Bitcoin Evangelism","03/06/16","18"
"4216521","TBP46 - The Fundamental Conflict","03/13/16","12"
"4233077","TBP47 - Bottoms Up 4","03/20/16","7"
"4251330","TBP48 - Inertia, My Friend!","03/27/16","6"
"4261115","TBP49 - Welterweight Gold","03/31/16","8"
"4269854","TBP50 - Not Giving a Good Got Damn","04/04/16","5"
"4284694","TBP51 - Such Wow","04/10/16","7"
"4295051","TBP52 - Potential of the SDK","04/14/16","7"
"4300718","TBP53 - Tough Math","04/17/16","9"
"4311179","TBP54 - Revisiting the Divine Child","04/21/16","6"
"4317313","TBP55 - The Cryptocurrency 2.0 Project","04/24/16","7"
"4334647","TBP56 - Exploring European Fintech","05/01/16","5"
"4339537","TBP57 - Future of a Shared Economy","05/03/16","30"
"4352674","TBP58 - The Art of the Deal","05/08/16","34"
"4372409","TBP59 - Incredible India","05/16/16","1"
"4387211","TBP60 - Release the Kraken","05/23/16","29"
"4399035","TBP61 - Escaping War Zones","05/27/16","2"
"4404424","TBP62 - Still Holding Up the Sky","05/30/16","1"
"4421248","TBP63 - Change Jar 4.0","06/06/16","3"
"4431667","TBP64 - Shorting the Bull Rally","06/09/16","3"
"4436659","TBP65 - Exosphere Academy","06/12/16","5"
"4453165","TBP66 - Cultures of Innovation","06/18/16","3"
"4463386","TBP67 - Follow the LeadTuur","06/22/16","2"
"4470918","TBP68 - Deconstructing theDAO Attack","06/26/16","1"
"4481878","TBP69 - The Ubitquity Platform","06/30/16","9"
"4488980","TBP70 - Whitehat","07/03/16","23"
"4504116","TBP71 - Bitcoin Wealth Alliance","07/10/16","25"
"4506392","TBP72 - The Broader Economy","07/11/16","38"
"4520410","TBP73 - Navigating the New Marketplace","07/17/16","1"
"4528886","TBP74 - Cryptocurrency Fellowship","07/20/16","1"
"4536953","TBP75 - Attention Economy","07/23/16","4"
"4554551","TBP76 - Skynet","07/31/16","31"
"4556023","TBP77 - Collective Governance","08/01/16","1"
"4571200","TBP78 - The Price of Privatization","08/06/16","1"
"4589710","TBP79 - Infrastructure for a Seven Billion World","08/13/16","29"
"4589821","TBP80 - A Means to an End","08/13/16","5"
"4606217","TBP81 - Redefining Trust","08/21/16","2"
"4622866","TBP82 - Unifying Blockchain Tech","08/28/16","1"
"4624827","TBP83 - Lightning Network Deep Dive","08/29/16","11"
"4658206","TBP85 - Crossing the Chasm","09/11/16","10"
"4662839","TBP86 - Exploring Macroeconomics","09/12/16","2"
"4676072","TBP87 - The World is YOURS","09/18/16","4"
"4677301","TBP88 - Bitcoin Bike-Shed","09/19/16","4"
"4693718","TBP89 - The IoT Frontier","09/25/16","2"
"4698707","TBP90 - Silicon Valley in a Box","09/27/16","6"
"4711534","TBP91 - Exosphere Academy II","10/02/16","3"
"4729600","TBP92 - Myceliated","10/09/16","6"
"4746824","TBP93 - Cryptographic Verification","10/15/16","19"
"4766092","TBP94 - Reputation Tokens","10/22/16","34"
"4778149","TBP95 - The JOBS Act","10/27/16","9"
"4785799","TBP96 - A Fireside Chat","10/29/16","8"
"4785809","BlockChannel Episode 1: Empowering Creativity with Technology","10/29/16","8"
"4807640","TBP97 - Hype or Hope","11/06/16","32"
"4818033","TBP98 - Ubitquity Part Duex","11/09/16","4"
"4822539","BlockChannel Episode 2: Making Bitcoin Great, with Javascript & Brave","11/11/16","7"
"4826040","TBP99 - Blockchain Supercomputer","11/12/16","11"
"4845463","TBP100 - Thai Gone Wild","11/19/16","5"
"4863014","TBP101 - World's First Supernode Infrastructure","11/27/16","7"
"4871160","TBP102 - Building Bridges Initiative","11/30/16","6"
"4875811","BlockChannel Episode 3: Zero Knowledge, the Future of Privacy","12/01/16","15"
"4883862","TBP103 - A Jack of All Trades","12/04/16","14"
"4903330","TBP104 - Currency to a Wider Public","12/11/16","7"
"4922407","TBP105 - Music Industry 2.0","12/18/16","5"
"4935270","On-Ramping with Dee: Episode #1","12/22/16","10"
"4940811","TBP106 - A Very Bitcoin Christmas","12/25/16","7"
"4953930","TBP107 - Like Father, Like Son","12/31/16","11"
"4957490","BlockChannel Episode 4: Predicting the Future, with Augur","01/02/17","10"
"4957889","On-Ramping with Dee: Episode #2","01/03/17","27"
"4962049","TBP108 - Ether Camp","01/04/17","4"
"4971658","Episode #3: On-Ramping with Dee","01/07/17","4"
"4972243","TBP109 - The Human Influence","01/08/17","4"
"4983384","BlockChannel Episode 5: Taking One for the Team","01/11/17","2"
"4991462","TBP110 - The Technological Revolution","01/15/17","5"
"5013790","TBP111 - Disrupting Global Commerce","01/22/17","5"
"5023155","Episode #4: On-Ramping with Dee","01/25/17","4"
"5026134","BlockChannel Episode 6: Gnosis, and the Power of the Crowd","01/26/17","3"
"5033333","TBP112 - The Broader Economy II","01/28/17","31"
"5046883","BlockChannel Episode 7: Meet Your Maker, Ethereum","02/02/17","12"
"5048677","BlockChannel Episode 8: Hit or Stay, a Bet on 21.co","02/02/17","4"
"5053952","Episode #5: On-Ramping with Dee","02/03/17","4"
"5056003","TBP113 - Innovators' Lab","02/05/17","7"
"5064970","BlockChannel Episode 9: Getting Gamers on Ethereum with FirstBlood","02/08/17","4"
"5076255","TBP114 - Life After Trezor","02/12/17","9"
"5094224","BlockChannel Episode 10: A Bitcoin Venture Outside the Great Wall","02/17/17","10"
"5096961","TBP115 - This Week in Ethereum","02/18/17","9"
"5099292","BlockChannel Episode 11: Bridging Ethereum and Media with Jaak.io","02/20/17","4"
"5101064","Episode #6: On-Ramping with Dee","02/20/17","8"
"5106311","BlockChannel Episode 12: In Ethereum, WeTrust","02/22/17","9"
"5118383","TBP116 - Building the Iron Man Suit","02/26/17","16"
"5140262","TBP117 - Venturing Into the Web3","03/05/17","12"
"5146104","BlockChannel Episode 13: Decentralized Web Browsing, with Blockstack","03/07/17","13"
"5157576","Episode #7: On-Ramping with Dee","03/10/17","8"
"5160637","TBP118 - Bitcoin or How I Learned to Stop Worrying and Love Crypto","03/12/17","19"
"5181364","BlockChannel Episode 14: Ethereum Foundation Researcher, Absurdist, Troll - Vlad Zamfir","03/18/17","12"
"5183669","TBP119 - Shorting the Bull Rally II","03/20/17","5"
"5189867","BlockChannel Episode 15: A Hedge on Ethereum, with Numerai","03/21/17","48"
"5203043","TBP120 - The Token Protocol","03/25/17","26"
"5227923","TBP121 - Liberty Life Trails","04/02/17","9"
"5231182","BlockChannel Episode 16: Partly Cloudy, with a Chance of Ethereum","04/03/17","16"
"5243000","TBP122 - Ubitquity Part III","04/06/17","8"
"5250130","TBP123 - AsicBoost Catch 22","04/09/17","15"
"5261470","BlockChannel Episode 17: Putting the Fun in Coin, with CoinFund","04/12/17","16"
"5264865","BlockChannel Episode 18: Where You At? What’s Your Status.im?","04/14/17","14"
"5269481","TBP124 - Affording the High Risk","04/16/17","19"
"5284398","BlockChannel Episode 19: Virtual Land in the Clouds, with Urbit","04/20/17","14"
"5286932","Episode #8: On-Ramping with Dee","04/21/17","18"
"5289547","TBP125 - False Narratives and Short Memories","04/22/17","13"
"5306585","BlockChannel Episode 20: Building Across the Globe, with ConsenSys","04/28/17","15"
"5314205","TBP126 - Litecoin's SegWit Activation","05/01/17","41"
"5329776","Episode #9: On-Ramping with Dee","05/05/17","15"
"5333084","TBP127 - Marketing Discipline","05/07/17","32"
"5353747","TBP128 - Family","05/14/17","17"
"5374679","TBP129 - The Inherent Risks","05/21/17","26"
